radon,x,y,county,u
2.2,1,0.78845736,1,-0.689047595
2.2,0,0.78845736,1,-0.689047595
2.9,0,1.06471074,1,-0.689047595
1.0,0,0.0,1,-0.689047595
3.1,0,1.13140211,2,-0.84731286
2.5,0,0.91629073,2,-0.84731286
1.5,0,0.40546511,2,-0.84731286
1.0,0,0.0,2,-0.84731286
0.7,0,-0.35667494,2,-0.84731286
1.2,0,0.18232156,2,-0.84731286
1.2,0,0.18232156,2,-0.84731286
1.3,0,0.26236426,2,-0.84731286
1.4,0,0.33647224,2,-0.84731286
0.4,0,-0.91629073,2,-0.84731286
1.1,0,0.09531018,2,-0.84731286
4.5,0,1.5040774,2,-0.84731286
1.3,0,0.26236426,2,-0.84731286
2.1,0,0.74193734,2,-0.84731286
5.9,0,1.77495235,2,-0.84731286
3.3,0,1.19392247,2,-0.84731286
1.8,0,0.58778666,2,-0.84731286
5.4,0,1.68639895,2,-0.84731286
6.3,0,1.84054963,2,-0.84731286
1.9,0,0.64185389,2,-0.84731286
6.6,0,1.88706965,2,-0.84731286
3.1,0,1.13140211,2,-0.84731286
6.8,0,1.91692261,2,-0.84731286
7.0,0,1.94591015,2,-0.84731286
7.7,0,2.04122033,2,-0.84731286
5.2,0,1.64865863,2,-0.84731286
4.5,0,1.5040774,2,-0.84731286
4.4,0,1.48160454,2,-0.84731286
2.8,0,1.02961942,2,-0.84731286
8.1,0,2.09186406,2,-0.84731286
1.6,0,0.47000363,2,-0.84731286
4.2,0,1.43508453,2,-0.84731286
5.4,0,1.68639895,2,-0.84731286
4.0,0,1.38629436,2,-0.84731286
2.3,0,0.83290912,2,-0.84731286
2.9,0,1.06471074,2,-0.84731286
1.4,0,0.33647224,2,-0.84731286
3.3,0,1.19392247,2,-0.84731286
2.9,0,1.06471074,2,-0.84731286
1.8,1,0.58778666,2,-0.84731286
0.2,1,-1.60943791,2,-0.84731286
2.4,0,0.87546874,2,-0.84731286
1.1,1,0.09531018,2,-0.84731286
2.2,0,0.78845736,2,-0.84731286
0.6,0,-0.51082562,2,-0.84731286
1.7,0,0.53062825,2,-0.84731286
2.9,0,1.06471074,2,-0.84731286
2.2,0,0.78845736,2,-0.84731286
1.7,0,0.53062825,2,-0.84731286
1.4,0,0.33647224,2,-0.84731286
1.9,0,0.64185389,2,-0.84731286
1.8,0,0.58778666,2,-0.84731286
1.2,1,0.18232156,3,-0.113458774
4.3,0,1.45861502,3,-0.113458774
4.5,1,1.5040774,3,-0.113458774
6.3,0,1.84054963,4,-0.593352526
4.6,0,1.5260563,4,-0.593352526
5.7,0,1.74046617,4,-0.593352526
2.2,1,0.78845736,4,-0.593352526
0.4,1,-0.91629073,4,-0.593352526
4.6,1,1.5260563,4,-0.593352526
4.4,1,1.48160454,4,-0.593352526
6.6,0,1.88706965,5,-0.142890481
2.7,0,0.99325177,5,-0.142890481
2.9,1,1.06471074,5,-0.142890481
2.9,0,1.06471074,5,-0.142890481
7.2,0,1.97408103,6,0.387056708
5.0,0,1.60943791,6,0.387056708
2.6,0,0.95551145,6,0.387056708
5.0,0,1.60943791,7,0.271613664
13.0,0,2.56494936,7,0.271613664
7.2,0,1.97408103,7,0.271613664
6.8,0,1.91692261,7,0.271613664
12.8,0,2.54944517,7,0.271613664
5.8,1,1.75785792,7,0.271613664
9.5,0,2.2512918,7,0.271613664
6.0,0,1.79175947,7,0.271613664
3.8,0,1.33500107,7,0.271613664
14.3,1,2.66025954,7,0.271613664
1.8,0,0.58778666,7,0.271613664
6.9,0,1.93152141,7,0.271613664
4.7,0,1.54756251,7,0.271613664
9.5,0,2.2512918,7,0.271613664
2.5,1,0.91629073,8,0.277578705
6.7,0,1.90210753,8,0.277578705
4.0,1,1.38629436,8,0.277578705
10.1,0,2.31253542,8,0.277578705
2.2,0,0.78845736,9,-0.332315488
1.8,0,0.58778666,9,-0.332315488
3.4,0,1.22377543,9,-0.332315488
5.6,1,1.7227666,9,-0.332315488
4.3,0,1.45861502,9,-0.332315488
3.9,0,1.36097655,9,-0.332315488
1.3,0,0.26236426,9,-0.332315488
4.2,0,1.43508453,9,-0.332315488
0.8,0,-0.22314355,9,-0.332315488
2.0,0,0.69314718,9,-0.332315488
1.6,0,0.47000363,10,0.095864572
12.9,0,2.55722731,10,0.095864572
14.7,1,2.68784749,10,0.095864572
4.7,1,1.54756251,10,0.095864572
9.6,0,2.2617631,10,0.095864572
0.0,1,-2.30258509,10,0.095864572
3.7,0,1.30833282,11,-0.608219807
7.4,0,2.00148,11,-0.608219807
1.9,0,0.64185389,11,-0.608219807
5.3,0,1.66770682,11,-0.608219807
4.0,0,1.38629436,11,-0.608219807
7.7,0,2.04122033,12,0.273684563
1.4,0,0.33647224,12,0.273684563
10.0,0,2.30258509,12,0.273684563
9.4,0,2.24070969,12,0.273684563
0.8,0,-0.22314355,13,-0.735320087
4.4,0,1.48160454,13,-0.735320087
5.0,0,1.60943791,13,-0.735320087
2.1,0,0.74193734,13,-0.735320087
1.7,0,0.53062825,13,-0.735320087
8.1,0,2.09186406,13,-0.735320087
0.9,1,-0.10536052,14,0.343781175
12.9,0,2.55722731,14,0.343781175
2.6,0,0.95551145,14,0.343781175
3.5,1,1.25276297,14,0.343781175
26.6,0,3.28091122,14,0.343781175
1.5,0,0.40546511,14,0.343781175
13.0,0,2.56494936,14,0.343781175
8.8,0,2.17475172,14,0.343781175
19.5,0,2.97041447,14,0.343781175
2.5,1,0.91629073,14,0.343781175
9.0,0,2.19722458,14,0.343781175
13.1,0,2.57261223,14,0.343781175
3.6,0,1.28093385,14,0.343781175
6.9,1,1.93152141,14,0.343781175
4.8,1,1.56861592,15,-0.059860414
3.4,0,1.22377543,15,-0.059860414
0.9,1,-0.10536052,15,-0.059860414
3.4,0,1.22377543,15,-0.059860414
2.7,0,0.99325177,16,-0.504995983
1.4,0,0.33647224,16,-0.504995983
6.8,0,1.91692261,17,0.339560321
11.1,1,2.40694511,17,0.339560321
0.0,1,-2.30258509,17,0.339560321
2.5,1,0.91629073,17,0.339560321
1.8,0,0.58778666,18,-0.6333907
1.6,0,0.47000363,18,-0.6333907
1.0,1,0.0,18,-0.6333907
0.9,0,-0.10536052,18,-0.6333907
2.9,0,1.06471074,18,-0.6333907
4.4,0,1.48160454,18,-0.6333907
1.5,0,0.40546511,18,-0.6333907
4.1,0,1.41098697,18,-0.6333907
2.5,1,0.91629073,18,-0.6333907
6.7,1,1.90210753,18,-0.6333907
4.3,0,1.45861502,18,-0.6333907
5.5,0,1.70474809,18,-0.6333907
3.6,0,1.28093385,19,-0.024145162
2.8,0,1.02961942,19,-0.024145162
14.6,0,2.68102153,19,-0.024145162
6.7,0,1.90210753,19,-0.024145162
8.0,0,2.07944154,19,-0.024145162
2.6,0,0.95551145,19,-0.024145162
2.8,1,1.02961942,19,-0.024145162
4.4,0,1.48160454,19,-0.024145162
1.7,1,0.53062825,19,-0.024145162
2.0,0,0.69314718,19,-0.024145162
2.0,0,0.69314718,19,-0.024145162
1.5,0,0.40546511,19,-0.024145162
9.6,0,2.2617631,19,-0.024145162
8.1,0,2.09186406,19,-0.024145162
3.5,0,1.25276297,19,-0.024145162
0.8,1,-0.22314355,19,-0.024145162
5.1,0,1.62924054,19,-0.024145162
3.2,0,1.16315081,19,-0.024145162
10.8,0,2.37954613,19,-0.024145162
8.2,0,2.10413415,19,-0.024145162
6.3,0,1.84054963,19,-0.024145162
4.8,0,1.56861592,19,-0.024145162
6.0,0,1.79175947,19,-0.024145162
1.1,0,0.09531018,19,-0.024145162
8.7,0,2.16332303,19,-0.024145162
8.8,0,2.17475172,19,-0.024145162
6.8,0,1.91692261,19,-0.024145162
2.3,0,0.83290912,19,-0.024145162
1.6,0,0.47000363,19,-0.024145162
2.8,0,1.02961942,19,-0.024145162
6.5,0,1.87180218,19,-0.024145162
1.7,0,0.53062825,19,-0.024145162
4.6,0,1.5260563,19,-0.024145162
3.3,0,1.19392247,19,-0.024145162
4.4,0,1.48160454,19,-0.024145162
21.2,0,3.05400118,19,-0.024145162
9.1,0,2.20827441,19,-0.024145162
0.9,0,-0.10536052,19,-0.024145162
4.9,0,1.58923521,19,-0.024145162
5.0,0,1.60943791,19,-0.024145162
1.1,0,0.09531018,19,-0.024145162
7.6,0,2.02814825,19,-0.024145162
5.4,0,1.68639895,19,-0.024145162
3.6,0,1.28093385,19,-0.024145162
4.9,0,1.58923521,19,-0.024145162
4.7,0,1.54756251,19,-0.024145162
1.4,0,0.33647224,19,-0.024145162
3.4,0,1.22377543,19,-0.024145162
4.2,0,1.43508453,19,-0.024145162
2.5,0,0.91629073,19,-0.024145162
1.4,0,0.33647224,19,-0.024145162
1.4,0,0.33647224,19,-0.024145162
1.9,0,0.64185389,19,-0.024145162
4.8,0,1.56861592,19,-0.024145162
1.4,1,0.33647224,19,-0.024145162
3.8,0,1.33500107,19,-0.024145162
8.8,0,2.17475172,19,-0.024145162
4.3,0,1.45861502,19,-0.024145162
4.4,0,1.48160454,19,-0.024145162
4.5,0,1.5040774,19,-0.024145162
2.2,0,0.78845736,19,-0.024145162
0.5,0,-0.69314718,19,-0.024145162
5.8,0,1.75785792,19,-0.024145162
5.4,0,1.68639895,20,0.26385546
7.2,0,1.97408103,20,0.26385546
5.7,0,1.74046617,20,0.26385546
7.4,0,2.00148,21,0.155712317
4.8,0,1.56861592,21,0.155712317
6.8,0,1.91692261,21,0.155712317
6.4,0,1.85629799,21,0.155712317
3.7,1,1.30833282,21,0.155712317
5.5,0,1.70474809,21,0.155712317
7.8,0,2.05412373,21,0.155712317
4.4,0,1.48160454,21,0.155712317
2.7,0,0.99325177,21,0.155712317
3.4,0,1.22377543,22,0.295025047
4.2,0,1.43508453,22,0.295025047
2.3,0,0.83290912,22,0.295025047
1.3,1,0.26236426,22,0.295025047
5.2,0,1.64865863,22,0.295025047
0.1,0,-2.30258509,22,0.295025047
2.5,1,0.91629073,23,0.414913663
3.2,0,1.16315081,23,0.414913663
3.2,0,1.16315081,24,0.224206986
9.6,0,2.2617631,24,0.224206986
4.2,0,1.43508453,24,0.224206986
9.0,0,2.19722458,24,0.224206986
6.3,0,1.84054963,24,0.224206986
32.6,0,3.48431229,24,0.224206986
13.2,0,2.58021683,24,0.224206986
2.2,1,0.78845736,24,0.224206986
5.6,1,1.7227666,24,0.224206986
14.3,0,2.66025954,25,0.196610646
6.9,1,1.93152141,25,0.196610646
7.6,0,2.02814825,25,0.196610646
9.8,1,2.28238239,25,0.196610646
2.6,0,0.95551145,25,0.196610646
43.5,0,3.77276094,25,0.196610646
4.9,0,1.58923521,25,0.196610646
4.9,0,1.58923521,25,0.196610646
3.5,0,1.25276297,25,0.196610646
4.8,0,1.56861592,25,0.196610646
5.6,0,1.7227666,25,0.196610646
3.5,0,1.25276297,25,0.196610646
3.9,0,1.36097655,25,0.196610646
6.7,0,1.90210753,25,0.196610646
7.9,0,2.06686276,26,-0.096520812
3.3,0,1.19392247,26,-0.096520812
2.1,1,0.74193734,26,-0.096520812
1.6,0,0.47000363,26,-0.096520812
4.0,0,1.38629436,26,-0.096520812
1.8,0,0.58778666,26,-0.096520812
2.5,0,0.91629073,26,-0.096520812
11.2,0,2.41591378,26,-0.096520812
2.6,0,0.95551145,26,-0.096520812
3.9,0,1.36097655,26,-0.096520812
7.4,0,2.00148,26,-0.096520812
1.3,0,0.26236426,26,-0.096520812
0.9,0,-0.10536052,26,-0.096520812
0.4,0,-0.91629073,26,-0.096520812
2.5,1,0.91629073,26,-0.096520812
6.0,0,1.79175947,26,-0.096520812
2.0,0,0.69314718,26,-0.096520812
5.4,0,1.68639895,26,-0.096520812
3.0,0,1.09861229,26,-0.096520812
2.9,0,1.06471074,26,-0.096520812
5.5,0,1.70474809,26,-0.096520812
4.1,0,1.41098697,26,-0.096520812
3.9,0,1.36097655,26,-0.096520812
14.9,0,2.70136121,26,-0.096520812
7.2,0,1.97408103,26,-0.096520812
2.3,0,0.83290912,26,-0.096520812
2.8,1,1.02961942,26,-0.096520812
4.4,0,1.48160454,26,-0.096520812
1.5,0,0.40546511,26,-0.096520812
8.6,0,2.1517622,26,-0.096520812
5.6,0,1.7227666,26,-0.096520812
8.6,0,2.1517622,26,-0.096520812
3.8,0,1.33500107,26,-0.096520812
1.8,0,0.58778666,26,-0.096520812
1.9,0,0.64185389,26,-0.096520812
5.5,0,1.70474809,26,-0.096520812
2.5,0,0.91629073,26,-0.096520812
0.8,1,-0.22314355,26,-0.096520812
2.1,0,0.74193734,26,-0.096520812
2.8,0,1.02961942,26,-0.096520812
3.9,0,1.36097655,26,-0.096520812
4.3,0,1.45861502,26,-0.096520812
4.7,0,1.54756251,26,-0.096520812
2.8,0,1.02961942,26,-0.096520812
4.1,0,1.41098697,26,-0.096520812
1.6,0,0.47000363,26,-0.096520812
4.3,0,1.45861502,26,-0.096520812
0.7,1,-0.35667494,26,-0.096520812
5.5,0,1.70474809,26,-0.096520812
3.3,1,1.19392247,26,-0.096520812
5.5,0,1.70474809,26,-0.096520812
2.5,0,0.91629073,26,-0.096520812
2.7,0,0.99325177,26,-0.096520812
8.4,0,2.12823171,26,-0.096520812
3.3,0,1.19392247,26,-0.096520812
3.2,0,1.16315081,26,-0.096520812
8.6,0,2.1517622,26,-0.096520812
1.7,0,0.53062825,26,-0.096520812
5.7,0,1.74046617,26,-0.096520812
13.0,0,2.56494936,26,-0.096520812
2.7,0,0.99325177,26,-0.096520812
4.7,0,1.54756251,26,-0.096520812
5.6,0,1.7227666,26,-0.096520812
13.8,0,2.62466859,26,-0.096520812
7.6,1,2.02814825,26,-0.096520812
5.7,0,1.74046617,26,-0.096520812
4.6,0,1.5260563,26,-0.096520812
7.6,0,2.02814825,26,-0.096520812
2.6,0,0.95551145,26,-0.096520812
4.5,0,1.5040774,26,-0.096520812
5.9,0,1.77495235,26,-0.096520812
2.2,0,0.78845736,26,-0.096520812
2.4,0,0.87546874,26,-0.096520812
4.0,0,1.38629436,26,-0.096520812
4.6,0,1.5260563,26,-0.096520812
4.6,0,1.5260563,26,-0.096520812
10.9,0,2.38876279,26,-0.096520812
7.6,0,2.02814825,26,-0.096520812
3.0,0,1.09861229,26,-0.096520812
1.5,0,0.40546511,26,-0.096520812
1.6,1,0.47000363,26,-0.096520812
16.5,0,2.80336038,26,-0.096520812
3.1,0,1.13140211,26,-0.096520812
5.1,0,1.62924054,26,-0.096520812
4.9,0,1.58923521,26,-0.096520812
6.0,0,1.79175947,26,-0.096520812
0.9,1,-0.10536052,26,-0.096520812
1.8,0,0.58778666,26,-0.096520812
3.9,0,1.36097655,26,-0.096520812
5.6,0,1.7227666,26,-0.096520812
0.4,1,-0.91629073,26,-0.096520812
2.6,0,0.95551145,26,-0.096520812
3.6,0,1.28093385,26,-0.096520812
6.2,0,1.82454929,26,-0.096520812
23.6,0,3.16124671,26,-0.096520812
3.9,0,1.36097655,26,-0.096520812
2.9,0,1.06471074,26,-0.096520812
3.0,0,1.09861229,26,-0.096520812
4.7,0,1.54756251,26,-0.096520812
3.0,0,1.09861229,26,-0.096520812
4.2,0,1.43508453,26,-0.096520812
3.8,0,1.33500107,26,-0.096520812
3.0,0,1.09861229,26,-0.096520812
4.3,0,1.45861502,26,-0.096520812
2.9,1,1.06471074,26,-0.096520812
3.4,0,1.22377543,27,0.503529069
8.5,0,2.14006616,27,0.503529069
9.0,0,2.19722458,27,0.503529069
4.8,1,1.56861592,27,0.503529069
3.6,0,1.28093385,27,0.503529069
2.2,1,0.78845736,27,0.503529069
2.8,1,1.02961942,28,-0.400596977
0.8,1,-0.22314355,28,-0.400596977
1.5,0,0.40546511,28,-0.400596977
4.6,0,1.5260563,28,-0.400596977
3.7,1,1.30833282,28,-0.400596977
3.6,0,1.28093385,29,-0.751872233
3.0,0,1.09861229,29,-0.751872233
2.2,0,0.78845736,29,-0.751872233
1.9,0,0.64185389,30,-0.663347631
2.6,0,0.95551145,30,-0.663347631
1.8,0,0.58778666,30,-0.663347631
2.4,0,0.87546874,30,-0.663347631
4.3,0,1.45861502,30,-0.663347631
2.6,0,0.95551145,30,-0.663347631
1.1,0,0.09531018,30,-0.663347631
3.3,0,1.19392247,30,-0.663347631
2.5,0,0.91629073,30,-0.663347631
9.4,0,2.24070969,30,-0.663347631
1.3,0,0.26236426,30,-0.663347631
8.4,0,2.12823171,31,0.309020285
5.0,0,1.60943791,31,0.309020285
2.9,0,1.06471074,31,0.309020285
13.1,0,2.57261223,31,0.309020285
15.3,0,2.72785283,31,0.309020285
1.8,0,0.58778666,32,-0.053386009
3.8,0,1.33500107,32,-0.053386009
7.9,0,2.06686276,32,-0.053386009
2.6,0,0.95551145,32,-0.053386009
11.3,0,2.42480273,33,0.109732943
4.1,0,1.41098697,33,0.109732943
12.3,0,2.50959926,33,0.109732943
6.7,0,1.90210753,33,0.109732943
6.9,0,1.93152141,34,-0.007803367
4.5,1,1.5040774,34,-0.007803367
0.9,1,-0.10536052,34,-0.007803367
1.7,0,0.53062825,35,-0.881828921
1.4,0,0.33647224,35,-0.881828921
2.0,1,0.69314718,35,-0.881828921
1.0,1,0.0,35,-0.881828921
1.0,0,0.0,35,-0.881828921
2.8,1,1.02961942,35,-0.881828921
1.3,1,0.26236426,35,-0.881828921
11.3,1,2.42480273,36,0.311029879
16.0,0,2.77258872,36,0.311029879
1.3,1,0.26236426,37,-0.691596384
1.3,0,0.26236426,37,-0.691596384
1.6,0,0.47000363,37,-0.691596384
0.9,0,-0.10536052,37,-0.691596384
2.8,0,1.02961942,37,-0.691596384
0.5,0,-0.69314718,37,-0.691596384
1.5,0,0.40546511,37,-0.691596384
7.1,0,1.96009478,37,-0.691596384
0.5,0,-0.69314718,37,-0.691596384
10.1,0,2.31253542,38,-0.681708848
4.3,1,1.45861502,38,-0.681708848
3.3,0,1.19392247,38,-0.681708848
2.9,1,1.06471074,38,-0.681708848
12.5,0,2.52572864,39,0.194447737
4.2,1,1.43508453,39,0.194447737
4.5,0,1.5040774,39,0.194447737
3.9,0,1.36097655,39,0.194447737
3.3,0,1.19392247,39,0.194447737
17.5,0,2.86220088,40,0.444903746
10.6,0,2.360854,40,0.444903746
7.9,0,2.06686276,40,0.444903746
3.5,1,1.25276297,40,0.444903746
6.5,0,1.87180218,41,0.394734406
6.9,1,1.93152141,41,0.394734406
5.1,0,1.62924054,41,0.394734406
12.0,0,2.48490665,41,0.394734406
5.1,0,1.62924054,41,0.394734406
8.9,0,2.18605128,41,0.394734406
5.8,0,1.75785792,41,0.394734406
4.6,0,1.5260563,41,0.394734406
3.9,0,1.36097655,42,0.149600343
1.5,1,0.40546511,43,0.013764829
23.8,0,3.16968558,43,0.013764829
0.9,1,-0.10536052,43,0.013764829
1.4,1,0.33647224,43,0.013764829
1.1,1,0.09531018,43,0.013764829
2.8,0,1.02961942,43,0.013764829
48.2,0,3.87535902,43,0.013764829
0.9,1,-0.10536052,43,0.013764829
8.3,0,2.11625551,43,0.013764829
4.1,0,1.41098697,44,0.165861836
0.5,1,-0.69314718,44,0.165861836
